date,capital,strat scalar,ADBE units,AMD units,AES units,AFL units,A units,ADBE w,AMD w,AES w,AFL w,A w,nominal,leverage,daily pnl,nominal ret,capital ret,cum ret,drawdown
2021-11-26,10000.0,2.0,6.27003095673498,12.465901498849833,0.0,0.0,0.0,0.68265547228326,0.31734452771674004,0.0,0.0,0.0,6081.233523979915,0.6081233523979915,,,,,
2021-11-29,10247.704154565316,2.0,5.5744380814595385,11.95875384872599,0.0,0.0,0.0,0.6643487564033915,0.33565124359660836,0.0,0.0,0.0,5768.612261626236,0.5629175251957621,247.70415456531614,0.04073255098468974,0.024770415456531636,1.0247704154565316,0.0
2021-11-30,10107.036894340454,2.0,5.349387055067757,11.828398900291948,0.0,0.0,0.0,0.6566945441092268,0.3433054558907731,0.0,0.0,0.0,5456.550264320249,0.5398763575678351,-140.66726022486145,-0.024384939365851198,-0.013726709719873673,1.0107036894340455,-0.013726709719873553
2021-12-01,9930.959597474017,2.0,5.243044998171174,11.426098749643872,0.0,0.0,0.0,0.6692125884529365,0.3307874115470635,0.0,0.0,0.0,5150.575662976616,0.5186382657610134,-176.07729686643756,-0.03226897734595911,-0.017421257951975393,0.9930959597474018,-0.03090883112098708
2021-12-02,10024.765509378547,2.0,5.0554486758212835,11.448076569802405,0.0,0.0,0.0,0.6631953051436449,0.336804694856355,0.0,0.0,0.0,5121.650974685222,0.5108998280202887,93.8059119045306,0.01821270437377062,0.009445805411230416,1.002476550937855,-0.02175498451401403
2021-12-03,9668.587898837352,2.0,3.9272246122430174,11.133258611783939,0.0,0.0,0.0,0.6016201690289231,0.3983798309710768,0.0,0.0,0.0,4024.552416767785,0.4162502796558056,-356.1776105411959,-0.06954351483567986,-0.035529769769475236,0.9668587898837355,-0.05651180469236772
2021-12-06,9635.117108951525,2.0,3.9104307797356057,11.247606346188233,0.0,0.0,0.0,0.6086380907243613,0.39136190927563874,0.0,0.0,0.0,3996.5363873451442,0.41478856376661516,-33.47078988582751,-0.008316649013285441,-0.0034618074775792443,0.9635117108951528,-0.05977797918189143
2021-12-07,9809.420245021192,2.0,3.598471632456989,10.992819123655424,0.0,0.0,0.0,0.5949529385505078,0.4050470614494922,0.0,0.0,0.0,3931.1726184560566,0.4007548377235992,174.3031360696681,0.04361354912758734,0.018090401403396662,0.9809420245021195,-0.042768985416979155
2021-12-08,9825.006471774557,2.0,3.5853701596923444,11.00445062359544,0.0,0.0,0.0,0.5943323781492592,0.40566762185074073,0.0,0.0,0.0,3939.8916327818733,0.4010065178176177,15.586226753364688,0.003964778010558644,0.0015889039682315238,0.982500647177456,-0.041248037259393855
2021-12-09,9672.827165453673,2.0,0.0,11.01062014460752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1520.5667091737905,0.15719982205455577,-152.17930632088513,-0.03862525178476406,-0.015488977718036959,0.9672827165453676,-0.0560981250474073
2021-12-10,9677.781910917,2.0,0.0,11.378535596041825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1576.4961415561297,0.16289849844392204,4.954745463327337,0.0032584860851119224,0.0005122334327468403,0.9677781910917002,-0.05561462694982422
2021-12-13,9623.7338668358,2.0,0.0,11.535822833362023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1543.493130308376,0.16038402055436962,-54.04804408119867,-0.03428365135600575,-0.005584755327068269,0.9623733866835803,-0.06088878819277155
2021-12-14,9644.49838314039,2.0,0.0,13.464164013933383,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1825.7407224681021,0.18930385489614385,20.764516304589097,0.01345293729972119,0.002157636172395129,0.9644498383140392,-0.05886252787227453
