date,capital,strat scalar,MMM units,AOS units,ABT units,ABBV units,ACN units,MMM w,AOS w,ABT w,ABBV w,ACN w,nominal,leverage,daily pnl,nominal ret,capital ret,cum ret,drawdown
2021-11-26,10000.0,2.0,0.0,31.668853974680943,0.0,46.52097754062126,18.089269807585445,0.0,0.18179279128471915,0.0,0.36144132416220587,0.45676588455307504,13383.917640461892,1.338391764046189,,,,,
2021-11-29,10222.840939320835,2.0,0.0,32.39162955041202,0.0,47.40453338675882,15.606546173990143,0.0,0.19278796553526256,0.0,0.38377528029162356,0.42343675417311394,12886.33028180338,1.2605429702263857,222.84093932083576,0.016649903661028913,0.02228409393208359,1.0222840939320836,0.0
2021-11-30,9973.520482445407,2.0,0.0,31.49373274084294,0.0,45.79170887518435,14.489846308995496,0.0,0.196417898301371,0.0,0.3918883221500638,0.4116937795485652,12022.298785678977,1.2054217772791127,-249.32045687542887,-0.0193476693071798,-0.024388568535430304,0.9973520482445408,-0.024388568535430255
2021-12-01,10049.46205718542,2.0,0.0,32.26016749792888,0.0,46.08267451092199,14.389979846842223,0.0,0.20008733336009138,0.0,0.39231003293096317,0.40760263370894534,12151.731561421337,1.2091922425571808,75.94157474001221,0.006316726617248431,0.0076143198255498815,1.0049462057185419,-0.01695995107079662
2021-12-02,10209.481538738311,2.0,0.0,32.830435795847016,0.0,47.165277808127186,0.0,0.0,0.33915491883071724,0.0,0.6608450811692826,0.0,7444.487765537953,0.7291739288906088,160.0194815528916,0.013168450993512127,0.015923188787849263,1.020948153873831,-0.001306818785680397
2021-12-03,10309.022245295957,2.0,0.0,52.67621163841656,0.0,46.17886241335829,0.0,0.0,0.4542468940594149,0.0,0.545753105940585,0.0,8975.42932778555,0.8706382733707914,99.54070655764598,0.013371061877277856,0.009749829722494134,1.0309022245295956,0.0
2021-12-06,10432.045365302045,2.0,0.0,56.956575394635166,0.0,57.05408415473447,0.0,0.0,0.4175583894225385,0.0,0.5824416105774615,0.0,10609.211991665034,1.0169829233059378,123.02312000608839,0.013706655750186966,0.011933539096030609,1.0432045365302045,0.0
2021-12-07,10488.27366341922,2.0,0.0,58.20055532662671,0.0,57.288251438229715,0.0,0.0,0.42413603576710845,0.0,0.5758639642328915,0.0,10788.639567139175,1.0286382595800836,56.22829811717501,0.005299950473357453,0.005389959125771751,1.048827366341922,0.0
2021-12-08,10511.64981487358,2.0,0.0,76.36440317820423,0.0,59.08396796288207,0.0,0.0,0.48327307612486825,0.0,0.5167269238751317,0.0,12436.965188251324,1.1831601515733046,23.37615145436094,0.0021667376418395543,0.0022287892368684937,1.051164981487358,0.0
2021-12-09,10623.909697171222,2.0,0.0,77.15577472761612,0.0,56.12569737481294,0.0,0.0,0.49372052902368235,0.0,0.5062794709763176,0.0,12283.640957287316,1.156226032357751,112.25988229764233,0.009026308315447411,0.010679568314652138,1.0623909697171223,0.0
2021-12-10,10745.65178929017,2.0,0.0,77.92884218892357,0.0,55.98658960810273,0.0,0.0,0.49647135073688675,0.0,0.5035286492631132,0.0,12451.128272973869,1.1587131722789947,121.742092118948,0.009910912614775178,0.011459255169625886,1.0745651789290172,0.0
2021-12-13,10790.966110144811,2.0,0.0,78.78282255060985,0.0,55.518312143651215,0.0,0.0,0.4989629780074679,0.0,0.5010370219925322,0.0,12511.237460932298,1.159417732687551,45.314320854641124,0.0036393746704063523,0.004216991369458366,1.0790966110144813,0.0
2021-12-14,10713.041682275256,2.0,0.0,74.03334344544695,0.0,56.424492742394996,0.0,0.0,0.47314715622290293,0.0,0.5268528437770971,0.0,12166.94648151821,1.1357135389147641,-77.92442786955587,-0.00622835495792343,-0.00722126518368885,1.0713041682275257,-0.00722126518368893
2021-12-15,10979.771084232674,2.0,0.0,72.28117532862936,0.0,53.69245402823311,0.0,0.0,0.4789462452088548,0.0,0.5210537547911451,0.0,11977.074250586189,1.0908309616569034,266.72940195741853,0.021922460361158427,0.024897635038489876,1.0979771084232677,0.0
